S.R.No.,Title,Colors,Case_style,,
bhishoom-2-156.png,Puppy Kahin Ka ,"brown , Red , Yellow","graphic, typography, desi, humour, movies-and-television",,
bhishoom-2-157.png,RajiniCAN ,"Blue , Yellow , Green","graphic, humour, comic-and-cartoon, desi, famous, movies-and-television",,
bhishoom-2-158.png,Rowdy Bird,"Black , White , Red","movies-and-television, comic-and-cartoon, humour, desi, typography, animals",,
bhishoom-2-159.png,High 5,"Yellow , Blue , Black","graphic, humour, party, typography, quirky",,
bhishoom-2-160.png,Happy Haloween,"Black , White , Green","graphic, humour, quirky, party",,
bhishoom-2-161.png,NO Smoking ,"brown , White , Orange","graphic, humour, party, typography, quirky",,
bhishoom-2-162.png,Sexy Brain,"cream , Red , Blue","graphic, typography, party, profession-and-personality",,
bhishoom-2-163.png,Roadie special,"Red , White , Blue","graphic, movies-and-television, famous, comic-and-cartoon, quirky, desi, humour, profession-and-personality",,
bhishoom-2-164.png,Roar It My way,"Black , Red , White","graphic, animals",,
bhishoom-2-165.png,ROCK n ROLL!,"Black , Red , White","music, party, humour, typography",,
bhishoom-2-166.png,Rocket Ronaldo,"Red , White , Blue","graphic, sports, famous",,
bhishoom-2-167.png,RockSTAR,"Black , Yellow , Red","graphic, music, party, quirky, typography, humour, profession-and-personality",,
bhishoom-2-168.png,Don't say it,"Black , Blue , Orange","typography, desi, humour, quirky, graphic",,
bhishoom-2-169.png,Luv Weekends,"Black , White , Red","graphic, typography, humour, party, quirky",,
bhishoom-2-170.png,Sher Khan,"Black , gold , Yellow","graphic, animals, quirky",,
bhishoom-2-171.png,Shit HAPPENS,"Yellow , Black , White","graphic, humour, party, typography, quirky",,
bhishoom-2-172.png,Shortage of TIME,"Black , Red , White","graphic, party, typography, quirky, profession-and-personality",,
bhishoom-2-173.png,Singh Sahab,"Black , Red , Yellow","graphic, party, quirky, animals",,
bhishoom-2-174.png,Skull,"Black , White , brown","graphic, quirky, party",,
bhishoom-2-175.png,Sone Bhi Do YAARO ,"Black , Blue , White","graphic, quirky",,
bhishoom-2-176.png,SpongeBOB vs ZOMBIES,"Yellow , brown , Blue","graphic, quirky, comic-and-cartoon",,
bhishoom-2-177.png,Squeeze IT,"Black , brown , gray","graphic, quirky, humour, party",,
bhishoom-2-178.png,Star Attack,"Black , Blue , Orange","graphic, movies-and-television, famous",,
bhishoom-2-179.png,Super Mario ! Reloaded,"Yellow , White , Red","graphic, comic-and-cartoon, quirky, famous, humour",,
bhishoom-2-180.png,Super cow ,"Blue , White , Red","graphic, comic-and-cartoon, quirky, humour, animals",,
bhishoom-2-181.png,Super Sized heroes,"Yellow , Red , Green","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-182.png,Super Sparrow League,"Red , brown , Green","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-183.png,Supermask Jhakkas,"Blue , Yellow , Black","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-184.png,Swat Cats,"Black , Orange , Green","graphic, comic-and-cartoon, quirky",,
bhishoom-2-185.png,Buri Nazar Waale,"Blue , Red , White","typography, humour, graphic, desi, party, quirky, auto-and-transportation",,
bhishoom-2-186.png,The EGYPTION diaries,"Blue , Yellow","graphic, quirky, humour",,
bhishoom-2-187.png,Retirement  Life,"Blue , Red , Yellow","graphic, comic-and-cartoon, famous, humour",,
bhishoom-2-188.png,The Flash ,"Red , Yellow , White","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-189.png,The Incredible HULK,"Black , Red , Green","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-190.png,The Ugly Gang,"brown , Green , Blue","humour, comic-and-cartoon, graphic, quirky",,
bhishoom-2-191.png,Think Different,"White , Orange , Yellow","graphic, typography, humour, profession-and-personality",,
bhishoom-2-192.png,Thoranium,"brown , Red , Black","graphic, comic-and-cartoon, quirky, party, movies-and-television, famous, humour",,
bhishoom-2-193.png,Tron Legacy,"Black , Blue","graphic, party, movies-and-television, famous",,
bhishoom-2-194.png,It Says It ALL,"Red , White , Black","typography, humour, party, quirky",,
bhishoom-2-195.png,Ungli Mat Karna,"brown , Red , White","typography, graphic, desi, humour, party",,
bhishoom-2-196.png,Vellapanti,"White , brown , Red","typography, graphic, desi, humour, party, profession-and-personality",,
bhishoom-2-197.png,4 bottle Vodka,"Black , White , Blue","typography, graphic, desi, party, quirky, music, movies-and-television, profession-and-personality",,
bhishoom-2-198.png,Warning ,"Black , Red , White","graphic, typography, humour, party, quirky",,
bhishoom-2-199.png,What IS MOBILE number,"Red , White , Yellow","graphic, typography, humour, party, quirky, desi",,
bhishoom-2-200.png,Why So Serious,"Black , White , Blue","movies-and-television, graphic, famous",,
bhishoom-2-201.png,Wolverine,"Yellow , Blue , Red","comic-and-cartoon, movies-and-television, graphic",,
bhishoom-2-202.png,Yaar Tera SUPERSTAR,"Blue , Red , Yellow","comic-and-cartoon, quirky, party, movies-and-television, famous, humour, typography, profession-and-personality",,
bhishoom-2-203.png,Yeh Dosti ..!!,"brown , White , Yellow","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-204.png,Heart in Hand,"Blue , Red , Black","graphic, quirky, party",,
bhishoom-2-205.png,Yoga O holics ,"Red , brown , White","graphic, typography, humour, party, quirky, desi",,
bhishoom-2-206.png,You Are Invited ,"Yellow , White , Blue","graphic, humour, party, typography, quirky",,
bhishoom-2-207.png,Zara Sambhaal Ke,"Black , White , Red","typography, graphic, quirky, desi, humour, party, profession-and-personality",,
bhishoom-2-208.png,Zilch To Zenith,"Black , White , Green","graphic, typography",,
bhishoom-2-209.png,Bachelor Party,"Yellow , Black , Red","graphic, humour, party, typography, quirky",,
bhishoom-2-210.png,Hello Zombie,"Black , White , Red","graphic, comic-and-cartoon, quirky, famous, humour, party",,
bhishoom-2-211.png,Keep It Real,"Black , White , Orange","graphic, typography, party",,
bhishoom-2-212.png,It’s a Trap Mickey ,"Red , Yellow , White","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-213.png,Battery life..!,"Black , White , Green","graphic, typography, humour, quirky",,
bhishoom-2-214.png,War Time,"Blue , cream","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-215.png,Moshi Moshi ,"Orange , brown , Green","graphic, comic-and-cartoon, famous, movies-and-television, sports",,
bhishoom-2-216.png,Pokemon Ball,"brown , White , Orange","quirky, comic-and-cartoon, typography, humour, famous",,
bhishoom-2-217.png,Whats Up parker,"Black , White , Red","graphic, movies-and-television, comic-and-cartoon, famous",,
bhishoom-2-218.png,I am A Superstar,"Black , White , Red","graphic, humour, party, quirky, comic-and-cartoon, music, profession-and-personality",,
bhishoom-2-219.png,HUG Me,"White , Orange , aqua","typography, humour, graphic, party, quirky",,
bhishoom-2-220.png,Monster DJ,"Black , White , Red","graphic, party, quirky, music, humour, profession-and-personality",,
bhishoom-2-221.png,Life Is Good,"brown , pink , Blue","graphic, typography",,
bhishoom-2-222.png,Spooky Gothic,"Black , Green , White","graphic, comic-and-cartoon, quirky, movies-and-television, famous, typography",,
bhishoom-2-223.png,I AM OK,"Green, Red","graphic, quirky, fashion, typography, humour",,
bhishoom-2-224.png,Hulk Style,"Green, Yellow","fashion, graphic, quirky, humour, famous, comic-and-cartoon",,
bhishoom-2-225.png,Desi Theka,"Black, Red, ","quirky, desi, typography, humour, party",,
bhishoom-2-226.png,We Will Rock You,"Black, Red, Blue","graphic, comic-and-cartoon",,
#Sexy.png,#Sexy,"Black,Red","desi",,


