S.R.No.,Title,Colors,Case_style,,
387.jpg,Virgo Zodiac,"Red , Brown",zodiac,,
388.jpg,Libra,"Maroon , Brown , Yellow",zodiac,,
389.jpg,Libra Zodiac,"Green , Red , White",zodiac,,
390.jpg,Shiva,"Black , Brown , White","religion-and-spirituality, desi, illustration",,
391.jpg,Green fursby,Green,"quirky, 3d, humour, sports",,
392.jpg,pink fursby,Pink,"quirky, 3d, humour, sports",,
393.jpg,Virat Kohli,"Brown , Black , White","sports, famous, comic-and-cartoon, illustration",,
394.jpg,Shree Krishna,"Red , Blue , Yellow","religion-and-spirituality, desi, illustration",,
395.jpg, Radhe Krishna,"Black , White , Yellow","religion-and-spirituality, desi, illustration",,
396.jpg,Ganesh Bagwan,"Yellow , Red , Green","religion-and-spirituality, desi",,
397.jpg,Kanha,"Green , Pink , White","religion-and-spirituality, desi",,
398.jpg,Tirupati balaji,"Gold , Pink , Blue","religion-and-spirituality, desi",,
399.jpg,Devi Maa,"Grey , Gold","religion-and-spirituality, desi, illustration",,
400.jpg,Jai Mata Di,"Black , White , Red",religion-and-spirituality,,
401.jpg,Allah,"Green , White",religion-and-spirituality,,
402.jpg,Colorful Buddha,"Blue , Red , Green","religion-and-spirituality, desi, illustration",,
403.jpg,sherowali maa,"Green , Brown , Red",religion-and-spirituality,,
404.jpg,jesus christ,"Blue , White , Red",religion-and-spirituality,,
405.jpg,Jesus,"Black , Brown , White","religion-and-spirituality, typography, illustration",,
406.jpg,Shree Nath Ji,"Black , Blue , Pink","religion-and-spirituality, desi",,
407.jpg,Om Namah Shivay,"Blue , White , Brown",religion-and-spirituality,,
408.jpg,Maha Lakshmi,"Blue , Red , Pink",religion-and-spirituality,,
409.jpg,Gayatri Mantra,"Brown , Black","religion-and-spirituality, typography, desi",,
410.jpg,Geeta Book,"Brown , White , Black","religion-and-spirituality, typography, desi",,
411.jpg,Quran ,"Blue , Yellow , White","religion-and-spirituality, typography",,
412.jpg,wahe guru ji ka Khalsa,"Brown , Yellow , Grey","religion-and-spirituality, desi",,
413.jpg,Are You Perfect,"Black , Red , Yellow","typography, profession-and-personality",,
414.jpg,Best Way,"Black , Blue , Yellow",typography,,
415.jpg,united states of america,"Blue,Orange",cities-and-travel,,
416.jpg,Exotic beach Resort,"Black , Blue , Yellow","cities-and-travel, nature-and-landscape",,
418.jpg,Meditation,"White , Black , Blue","sports, typography, gym-and-health",,
419.jpg,Health typography,"White , Green , Orange","sports, typography, gym-and-health",,
420.jpg,I love myself,"Red , White , Blue","typography, desi, party",,
421.jpg,Virat Kohli,"Blue , Orange","famous, jerseys, sports",,
422.jpg,Pendrive,"Black , Red , White","humour, quirky",,
423.jpg,AppleMan,"Blue , White","humour, quirky",,
424.jpg,Everything I Like,"Green , Grey , Red","humour, typography, party",,
425.jpg,The Perfectionist,"Brown , Yellow","famous, humour, illustration, movies-and-television",,
426.jpg,Psychotic,"Black , Grey , White","humour, typography",,
427.jpg,Game Over,"Black , Red , White","comic-and-cartoon, humour, illustration, typography",,
428.jpg,Binary Rain,Blue,humour,,
429.jpg,Mr. Lonely,"Black , Yellow","desi, humour, party",,
430.jpg,Suresh Raina,"Blue , Orange","famous, jerseys, sports",,
431.jpg,cute dowl,"Brown,Pink",animals,,
432.jpg,Fitness Freak,"Black , Red , White","sports, typography, gym-and-health",,
433.jpg,Laaton Ke Bhoot,"Green , Red , Yellow","typography, desi, humour, party",,
435.jpg,Packman,"Black,Blue","sports, quirky, 3d, graphic",,
437.jpg,Kaminey,"Black , Brown","desi, movies-and-television, typography",,
438.jpg,stars shine in darkness,"Black , Grey , Yellow",typography,,
439.jpg,Chhedi Singh,"Black , Blue , Green","comic-and-cartoon, humour, movies-and-television, desi",,
440.jpg,Ghee Shakkar,"Green , Orange","desi, humour, typography",,
441.jpg,Dirt Bike Rider,"Brown, Red","sports, auto-and-transportation",,
442.jpg,Bowling,"Black , White , Yellow",sports,,
443.jpg,Basket Ball Player,"Red , White","sports, typography",,
444.jpg,,,retro,,
445.jpg,Sweat Heart,"Blue , Orange , Pink","comic-and-cartoon, humour, quirky",,
446.jpg,Football Frenzy,"Black , Yellow , Green","sports, retro",,
447.jpg,Queen Of Hearts,"Brown  , Red , White","sports, retro",,
448.jpg,blue fursby,Blue,"sports, quirky, 3d, humour",,
449.jpg,Bieng Indian,"Brown , Green , White","cities-and-travel, desi, illustration, typography",,
450.jpg,Ace Of Hearts,"Brown , Pink","sports, retro",,
451.jpg,King Of Hearts,"Brown  , Red , White","sports, retro",,
452.jpg,Sachin Tendulkar,"Blue , Orange","famous, jerseys, sports",,
453.jpg,Rahul Dravid,"Blue , Orange","famous, jerseys, sports",,
454.jpg,Sourav Ganguly,"Blue , Orange","famous, jerseys, sports",,
455.jpg,Cricket League,"Red , White , Green",sports,,
456.jpg,Soccor League,"Red  , White , Green",sports,,
458.jpg, Instagram ,Brown,"retro, 3d",,
459.jpg,mecca,"Black , White , Yellow",religion-and-spirituality,,
460.jpg,Basketball,"Brown , Black","sports, retro, 3d",,
461.jpg,Swimming Pool,"Blue , White","sports, retro, 3d",,
462.jpg,Gym Freak,"Black , Brown , White","sports, gym-and-health",,
463.jpg,Hanging Out,"Black , Blue , Yellow","comic-and-cartoon, humour, quirky",,
464.jpg,Owl Forest,"White , Pink , Blue","animals, illustration",,
465.jpg,Piglets,"Pink , Yellow","animals, comic-and-cartoon, desi, humour, movies-and-television",,
466.jpg,Peenut,"Blue , Red","comic-and-cartoon, humour, quirky",,
467.jpg,Cricket ground,"Blue , Green",sports,,
468.jpg,Do What You Love,"Black , Orange , Yellow",typography,,
469.jpg,Health is Wealth,"Black , Green , Yellow","sports, typography, gym-and-health",,
471.jpg,body chakras,"Brown , Black , Purple","sports, gym-and-health",,
472.jpg,serene beach,"Red , White","nature-and-landscape, cities-and-travel",,
473.jpg,Optimistic,"Green , Orange , Red","comic-and-cartoon, humour, sports, typography",,
474.jpg,Gym weights,"Black , Brown","sports, retro, gym-and-health",,
476.jpg,Mouse Date,"Black , Grey , Red","comic-and-cartoon, humour, quirky",,
477.jpg,Maradona,"Black , Blue , White","famous, jerseys, sports",,
478.jpg,Ronaldo Brazil,"Green , Yellow","famous, jerseys, sports",,
479.jpg,Zinedine Zidane,"Blue , Red","famous, jerseys, sports",,
480.jpg,Ronaldinho,"Blue , Red , Yellow","famous, jerseys, sports",,
481.jpg,Kaka,"Green , Yellow","famous, jerseys, sports",,
482.jpg,Saurez,"Blue , Red , Yellow","famous, jerseys, sports",,
483.jpg,Figo,"Red , Yellow","famous, jerseys, sports",,
484.jpg,Steven Gerrerd,"Red , White","famous, jerseys, sports",,
485.jpg,Owen,"Black , White","famous, jerseys, sports",,
486.jpg,Rooney,"Red , White","famous, jerseys, sports",,
487.jpg,Cheetah Pattern Pink,Black,"animals, illustration, textures-and-patterns",,
488.jpg,Cheetah Pattern Red,"Black , Red","animals, illustration, textures-and-patterns",,
489.jpg,zebra print,"Black,White","animals, illustration, textures-and-patterns",,
490.jpg,Python Skin,"Black , Brown , White","animals, illustration, textures-and-patterns",,
491.jpg,Pavanputra Hanuman,"Brown , Yellow , White",religion-and-spirituality,,
492.jpg,Michael Jordan,"Black , Red","famous, jerseys, sports",,
493.jpg,I am all Ears,"White , Brown , Black","fashion, 3d",,
494.jpg,Grey BoomBox,"White , Black , Grey","retro, 3d, quirky",,
495.jpg,Silver microwave,"Black , White , Grey","retro, 3d, quirky",,
496.jpg,Makeup Kit,"Black , Pink , Blue","retro, 3d, quirky, fashion",,
497.jpg,Dabang ,"Red,Black","movies-and-television, typography, quirky, humour",,
498.jpg,Battery Charger,"Grey , Black","retro, 3d, quirky",,
499.jpg,Pump station,"White , Red , Blue","retro, 3d, quirky",,
500.jpg,Pager,"White  , Black , Green","retro, 3d, quirky",,
501.jpg,THE OCEAN,"Blue , Orange","cities-and-travel, nature-and-landscape",,
502.jpg,Exotic Greece,"Blue , Green","cities-and-travel, nature-and-landscape",,
503.jpg,B & W Hearts,"Black , White","hearts, textures-and-patterns",,
504.jpg,Little Hearts,"Black , Pink","floral, hearts, textures-and-patterns",,
505.jpg,Big Ben,"Blue , Red , Voilet","cities-and-travel, illustration",,
506.jpg,Sunny Beach,"Brown , Grey , Pink","cities-and-travel, nature-and-landscape",,
507.jpg,Classy Zig Zag Pattern,"Green , Grey , White",textures-and-patterns,,
508.jpg,Pink Zig Zag Pattern,"Green , Pink , White",textures-and-patterns,,
509.jpg,Bold Stripes Pattern,"Pink , Voilet , White",textures-and-patterns,,
510.jpg,Touch of Class,"Black , Brown , White",textures-and-patterns,,
511.jpg,Blue Zig Zag Pattern,"Blue , Grey , White",textures-and-patterns,,
512.jpg,Artistic Texture,"Blue, Orange, Pink","textures-and-patterns, floral",,
513.jpg,Vintage Curtain,"Green, Red, Orange","textures-and-patterns, floral",,
514.jpg,Rose floral pattern,Green,"textures-and-patterns, floral",,
515.jpg,Elegant floral pattern,"Green, Pink, Brown","textures-and-patterns, floral",,
516.jpg,Tiger Skin,"Black , Brown , Red","animals, textures-and-patterns",,
517.jpg,Leopard Skin,"Black , Brown , Red","animals, textures-and-patterns",,
518.jpg,Skull And Bones,"Red , White","illustration, textures-and-patterns, graphic",,
519.jpg,Raging Skulls,"Black , Brown , Red","illustration, textures-and-patterns, graphic",,
520.jpg,Chipset,"Green , Black , White","retro, 3d, quirky",,
521.jpg,Broken Iphone,Black,"retro, 3d, quirky",,
522.jpg,ATM Machine,"Blue , White , Black","retro, 3d, quirky",,
523.jpg,Old Audio Cassette,"Black , Yellow , Red","retro, 3d, quirky",,
524.jpg,Old Television Set,Black,"retro, 3d, quirky",,
525.jpg,Exquisite Rangoli,"Green  , Orange , Brown","textures-and-patterns, floral",,
526.jpg,blue floral texture ,Black,"textures-and-patterns, floral",,
527.jpg,Pink Floral Texture,Pink,"textures-and-patterns, floral",,
528.jpg,Elegant Rangoli,"Blue , Red , White","textures-and-patterns, floral",,
529.jpg,pink n white hearts,"Black , Pink","floral, hearts, textures-and-patterns",,
530.jpg,Jai Ganesha,"Green , Red","religion-and-spirituality, desi, illustration",,
531.jpg,Badminton League,"Green , White , Black",sports,,
532.jpg,Basketball League,"Brown , White , Orange",sports,,
533.jpg,Eat Sleep Gym,"Black , Blue , Green","humour, sports, typography, gym-and-health",,
534.jpg,God is One,"Blue , Red , Yellow","religion-and-spirituality, illustration, desi",,
535.jpg,Evolution Criket Player,"Red,White",sports,,
536.jpg,E.T. Rockstar ,Blue,"comic-and-cartoon, humour, quirky, profession-and-personality",,
537.jpg,All IS Well,"White,Orange","comic-and-cartoon, humour, quirky",,
538.jpg,Sun raha hai na tu,"yellow,pink","comic-and-cartoon, humour, quirky, profession-and-personality",,
539.jpg,Super Dad,"White,Red","comic-and-cartoon, humour, quirky",,
540.jpg,King Khan,Red,"movies-and-television, typography, humour, famous",,
541.jpg, How to catch Don,Black,"movies-and-television, typography, humour, famous",,
542.jpg,Life is a race,Orange,"movies-and-television, typography, humour, famous",,
543.jpg,3 Idiots Shloka,"Orange,Yellow","movies-and-television, typography, humour, famous",,
544.jpg,Caption Cool,"Black,Blue","sports, famous, illustration",,
545.jpg,Goddess Lakshmi,"Red , Pink , Yellow","religion-and-spirituality, desi, illustration",,
546.jpg,Two Avatars,"Blue , White , Yellow","religion-and-spirituality, desi, illustration",,
547.jpg,Main Hoon na,Red,"movies-and-television, famous",,
548.jpg,Kaali Maa,"Red , Blue","religion-and-spirituality, illustration, desi",,
549.jpg,Bal Gopal,"Pink , Blue , White","religion-and-spirituality, desi, illustration",,
550.jpg,Bholenath,"Black , Blue , Orange","religion-and-spirituality, desi, illustration",,
551.jpg, Shahrukh filmopedia,"Black,Blue","movies-and-television, typography, humour, famous",,
552.jpg,Selfie queen,"Pink , Green , Blue","humour, party, typography, quirky",,
553.jpg,Dhan Lakshmi,"Red , Green , Gold","religion-and-spirituality, desi, illustration",,
554.jpg,Ra One,"Black , Red , Yellow","desi, illustration, comic-and-cartoon",,
555.jpg,Saraswati,"Blue , White , Pink","religion-and-spirituality, desi, illustration",,
556.jpg,omg wtf,"Blue , Green , Orange","humour, typography, quirky",,
557.jpg,Run Milkha ,Red,"movies-and-television, typography, humour, famous",,
558.jpg,Pele,"Green , Yellow","famous, jerseys, sports",,
559.jpg,Bal Hanuman,"Yellow , Red , White","religion-and-spirituality, desi, illustration",,
560.jpg,krodh mudra,"Red , Blue , Yellow","religion-and-spirituality, desi, illustration",,
561.jpg,Gadar Handpump,"Red,Black","religion-and-spirituality, typography, humour, famous",,
562.jpg,Devi Parvati,"Pink , Green , Red","religion-and-spirituality, desi, illustration",,
563.jpg,Lord Brahma,"Red , White , Pink","religion-and-spirituality, desi, illustration",,
564.jpg,Saraswati Devi,"Blue , White , Brown","religion-and-spirituality, desi, illustration",,
565.jpg,my daily routine ,"Red,Yellow,Blue","party, movies-and-television, profession-and-personality, humour, quirky",,
566.jpg,Gabbar ka Phone,"Brown , Black  , Red","movies-and-television, typography, humour, quirky",,
567.jpg,Beautiful Legs,"Blue, Red, Yellow","typography, desi, movies-and-television, party, quirky, humour, famous",,
568.jpg,Rishta,"Red,White","movies-and-television, famous, illustration",,
569.jpg,3 Idiot test,"Green, Black , White","typography, movies-and-television, famous",,
570.jpg,logic hai boss,"white,Black","movies-and-television, desi, typography, famous",,
571.jpg,bakwass band,"Red,Black,Yellow","movies-and-television, desi, typography, famous",,
572.jpg,Lord Vishnu,"Green , Brown , Yellow","religion-and-spirituality, desi, illustration",,
573.jpg,Sport Freak,"Red , White","sports, typography",,
574.jpg,London Dreams,"Blue , Grey , Red","cities-and-travel, hearts, illustration",,
575.jpg,Summer Fun,"Blue , Red , White","cities-and-travel, nature-and-landscape, typography",,
576.jpg,World In My Hand,"Blue , Orange , Yellow","cities-and-travel, typography",,
578.jpg,Eiffel Tower,"Black , Pink , White","cities-and-travel, famous, illustration",,
580.jpg,A trip to LONDON,"Green , Red , Yellow","cities-and-travel, illustration, typography",,
581.jpg,Seven Wonders,"Green , Orange , Voilet","cities-and-travel, illustration",,
582.jpg,Fun-in-the-sun,"Pink , Red , White","cities-and-travel, nature-and-landscape, typography",,
583.jpg,A Tout Le Monde,"Blue , Orange , Yellow","cities-and-travel, illustration",,
584.jpg,Saadi DILLI,"Black , Orange , White","cities-and-travel, desi, illustration, typography",,
586.jpg,Kashmir Se Kanyakumari,"Orange , Pink , Red","cities-and-travel, desi, typography",,
589.jpg,Morpankh,"Blue , White","animals, illustration, textures-and-patterns",,
590.jpg,Gramophone,"Brown, Black, Silver","retro, 3d, quirky",,
,,,,,
,,,,,
,,,,,
corel-img/covers-1-(1).jpg,Striped Tee,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(2).jpg,Colourful  Tee,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(3).jpg,Brown Jacket,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(5).jpg,Cowboy Jeans,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(6).jpg,Sports Shoes,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(7).jpg,Green Sleeper,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(8).jpg,Orange Shoes,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(10).jpg,Black leather Jacket,,"fashion, quirky, 3d, humour",,
corel-img/covers-1-(11).jpg,Give It Up,,"quirky, 3d, party, humour",,
corel-img/covers-1-(12).jpg,Energy Boost,,"quirky, 3d, party, humour",,
corel-img/covers-1-(13).jpg,BAR bar,,"quirky, 3d, party, humour",,
corel-img/covers-1-(14).jpg,Absolutely Mine,,"quirky, 3d, party, humour",,
corel-img/covers-1-(15).jpg,4 Bottle Mocktail,,"quirky, 3d, party, humour",,
corel-img/covers-1-(16).jpg,Bar O Licious,,"quirky, 3d, party, humour",,
corel-img/covers-1-(17).jpg,Coffee Time,,"quirky, 3d, party, humour",,
corel-img/covers-1-(18).jpg,Beer Mug,,"quirky, 3d, party, humour",,
corel-img/covers-1-(19).jpg,Keep Calm and Drink,,"quirky, party, humour, typography",,
corel-img/covers-1-(20).jpg,Brown Armour Jacket,,"weapon, fashion, retro, 3d",,
corel-img/covers-1-(21).jpg,Antique Mask ,,"weapon, fashion, retro, 3d",,
corel-img/covers-1-(22).jpg,Save The World,,"weapon, fashion, retro, 3d",,
corel-img/covers-1-(23).jpg,Golden Armour Jacket,,"weapon, fashion, retro, 3d",,
corel-img/covers-1-(24).jpg,Gothic Jacket,,"weapon, fashion, retro, 3d",,
corel-img/covers-1-(25).jpg,Antique Face Mask,,"weapon, fashion, retro, 3d",,
corel-img/covers-1-(26).jpg,Broken Glass,,"quirky, 3d, humour",,
corel-img/covers-1-(27).jpg,Bullet Holes,,weapon,,
corel-img/covers-1-(28).jpg,Metal Bullets,,weapon,,
corel-img/covers-1-(29).jpg,Sexy Geek,,"quirky, humour, comic-and-cartoon, typography, profession-and-personality",,
corel-img/covers-1-(30).jpg,I M Responsible,,"quirky, humour, fashion, profession-and-personality",,
corel-img/covers-1-(31).jpg,I Am Engeneer,,"quirky, humour, profession-and-personality, typography",,
corel-img/covers-1-(32).jpg,Man Up,,"quirky, humour, fashion, profession-and-personality",,
corel-img/covers-1-(33).jpg,Sexy Moustache ,,"quirky, humour, fashion, profession-and-personality",,
corel-img/covers-1-(34).jpg,Royal Stuff,,"quirky, humour, fashion, profession-and-personality",,
corel-img/covers-1-(35).jpg,Romantic Guy,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(36).jpg,Rockstar Hu Mein,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(37).jpg,Shikari Shambhu,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(38).jpg,Gussa Mat Dila ,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(39).jpg,Sports Maniac ,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(40).jpg,Mr. Lawyer,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(41).jpg,Mr. Accountant,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(42).jpg,Mr. Entrepreneur,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(43).jpg,Mr.  Engineer,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(44).jpg,Mr. Doctor,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(45).jpg,Mr.  Architect,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(46).jpg,Mr. MBA,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(47).jpg,Mr. Fashion designer,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(48).jpg,Mr. Teacher,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(49).jpg, PYAR SE DEKHO ,,"quirky, 3d, typography, auto-and-transportation, desi, humour",,
corel-img/covers-1-(50).jpg,Designer Helmet,,"quirky, 3d, auto-and-transportation, fashion",,
corel-img/covers-1-(51).jpg,Buri Nazar Mat Daal ,,"quirky, 3d, typography, auto-and-transportation, desi, humour",,
corel-img/covers-1-(52).jpg,Retro Car,,"quirky, 3d, auto-and-transportation, retro",,
corel-img/covers-1-(53).jpg,Sexy Bike,,"quirky, 3d, auto-and-transportation",,
corel-img/covers-1-(54).jpg,Retro Scooter,,"quirky, auto-and-transportation, retro",,
corel-img/covers-1-(55).jpg,Cockpit,,"quirky, 3d, auto-and-transportation",,
corel-img/covers-1-(56).jpg,It's a Beautiful Ride,,"quirky, auto-and-transportation, retro",,
corel-img/covers-1-(58).jpg,Roadster,,"quirky, auto-and-transportation, fashion",,
corel-img/covers-1-(59).jpg,Rainbow Scooter,,"quirky, auto-and-transportation, retro",,
corel-img/covers-1-(60).jpg,Red Ferrari,,"quirky, auto-and-transportation, fashion",,
corel-img/covers-1-(62).jpg,Colourful Cycles,,auto-and-transportation,,
corel-img/covers-1-(63).jpg,You Sexy Thing,,"quirky, auto-and-transportation, 3d, fashion",,
corel-img/covers-1-(65).jpg,Retro Beauties,,"quirky, auto-and-transportation, 3d, retro",,
corel-img/covers-1-(66).jpg,Scooter Pop Art,,"quirky, auto-and-transportation, retro",,
corel-img/covers-1-(67).jpg,Go For It,,"quirky, auto-and-transportation, 3d, retro",,
corel-img/covers-1-(68).jpg,Futuristic Machine,,"auto-and-transportation, fashion",,
corel-img/covers-1-(69).jpg,Tron Style,,"auto-and-transportation, 3d",,
corel-img/covers-1-(70).jpg,Concept Car,,"auto-and-transportation, 3d",,
corel-img/covers-1-(71).jpg,London Bus,,"auto-and-transportation, 3d, quirky",,
corel-img/covers-1-(72).jpg,Speed O Meter,,"auto-and-transportation, 3d, quirky",,
corel-img/covers-1-(73).jpg,Headlight ,,"auto-and-transportation, 3d",,
corel-img/covers-1-(74).jpg,Grey Beauty,,"auto-and-transportation, 3d, quirky, fashion",,
corel-img/covers-1-(75).jpg,Dream Stuff,,"auto-and-transportation, 3d",,
corel-img/covers-1-(76).jpg,Fighter Tank,,"auto-and-transportation, 3d, weapon",,
corel-img/covers-1-(77).jpg,War Machines,,"auto-and-transportation, 3d, weapon",,
corel-img/covers-1-(78).jpg,Blue Nissan ,,"auto-and-transportation, 3d",,
corel-img/covers-1-(79).jpg,Ride with Me,,"auto-and-transportation, comic-and-cartoon, retro",,
corel-img/covers-1-(80).jpg,Cycle Fun,,"auto-and-transportation, comic-and-cartoon",,
corel-img/covers-1-(81).jpg,Dirt bike,,"auto-and-transportation, sports",,
corel-img/covers-1-(82).jpg,Classic machine,,auto-and-transportation,,
corel-img/covers-1-(83).jpg,Oh Ferrari ,,"auto-and-transportation, 3d, quirky, fashion",,
corel-img/covers-1-(84).jpg,Horn Please,,"auto-and-transportation, quirky, humour, typography",,
corel-img/covers-1-(85).jpg,Tron-e-licious,,"auto-and-transportation, 3d, quirky, fashion",,
corel-img/covers-1-(86).jpg,2 Wheel Classic,,"auto-and-transportation, retro",,
corel-img/covers-1-(87).jpg,Life is Beautiful,,"auto-and-transportation, retro",,
corel-img/covers-1-(88).jpg,Big Wheels,,"auto-and-transportation, retro",,
corel-img/covers-1-(89).jpg,Oh My Gosh,,"auto-and-transportation, fashion",,
corel-img/covers-1-(90).jpg,Born to Ride,,"auto-and-transportation, comic-and-cartoon",,
corel-img/covers-1-(91).jpg,Luxurious,,"auto-and-transportation, 3d, quirky",,
corel-img/covers-1-(92).jpg,Vintage Sports Car,,"auto-and-transportation, 3d, retro",,
corel-img/covers-1-(97).jpg,Keep Laughing,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(98).jpg,Sad Look,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(100).jpg,Don't Mess With Me,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(102).jpg,Lage Raho,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(103).jpg,Kabhi Khushi Kabhi Gum,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(104).jpg,Panga Mat Lena ,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(106).jpg,Hipster,,"comic-and-cartoon, profession-and-personality, fashion",,
corel-img/covers-1-(109).jpg,Look Test,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(110).jpg,Multi Faceted,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(111).jpg,I am a Rockstar ,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(112).jpg,Kya Bolti Tu,,"comic-and-cartoon, profession-and-personality",,
corel-img/covers-1-(113).jpg,Talk Nerdy,,"typography, humour, quirky",,
corel-img/covers-1-(114).jpg,Its Not My Fault,,"typography, humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(115).jpg,Grow A Moustache,,"typography, humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(116).jpg,Haters Gonna Hate,,"comic-and-cartoon, humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(117).jpg,Bubble Girl,,"comic-and-cartoon, humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(118).jpg,Grow Your Beard  ,,"typography, humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(120).jpg,Look In My Eyes,,"typography, humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(122).jpg,I Got The Power,,"humour, quirky, profession-and-personality, fashion",,
corel-img/covers-1-(130).jpg,Nostalgic,,"auto-and-transportation, retro",,
corel-img/covers-1-(131).jpg,Legendary,,"auto-and-transportation, retro, illustration",,
corel-img/covers-1-(132).jpg,Yellow Classic,,"auto-and-transportation, retro",,
corel-img/covers-1-(133).jpg,Air O Plane,,"auto-and-transportation, retro, illustration",,
corel-img/covers-1-(134).jpg,Retro Magic,,"auto-and-transportation, retro",,
corel-img/covers-1-(136).jpg,Red Cycle Art,,"auto-and-transportation, retro",,
corel-img/covers-1-(139).jpg,Pop Cycle ,,auto-and-transportation,,
corel-img/covers-1-(141).jpg,Austin Healey,,"auto-and-transportation, quirky, 3d, retro, fashion",,
corel-img/covers-1-(142).jpg,Black Magic,,"auto-and-transportation, quirky, 3d, retro, fashion",,
corel-img/covers-1-(143).jpg,Retro Chervolet,,"auto-and-transportation, quirky, 3d, retro, fashion",,
corel-img/covers-1-(146).jpg,Angry Rickshaw ,,"auto-and-transportation, quirky, 3d, humour",,
corel-img/covers-1-(147).jpg,Satrangi Re,,"auto-and-transportation, retro",,
corel-img/covers-1-(149).jpg,Come With Me,,"auto-and-transportation, retro",,
corel-img/covers-1-(150).jpg,Orange Ride,,"auto-and-transportation, retro",,
corel-img/covers-1-(153).jpg,Kitna Hua ,,"auto-and-transportation, desi",,
corel-img/covers-1-(154).jpg,Antique Gun,,"weapon, retro",,
corel-img/covers-1-(155).jpg,A.K. 47,,weapon,,
corel-img/covers-1-(157).jpg,Swedish Vodka,,party,,
corel-img/covers-1-(160).jpg,Vinatge Horn,,"desi, quirky, auto-and-transportation, humour",,
corel-img/covers-1-(161).jpg,For Hire,,"desi, quirky, auto-and-transportation, humour",,
corel-img/covers-1-(162).jpg,Meter Pop Art,,"desi, quirky, auto-and-transportation, illustration",,
corel-img/covers-1-(165).jpg,Look With Affection,,"desi, quirky, auto-and-transportation, humour, comic-and-cartoon",,
corel-img/covers-1-(169).jpg,Bubble Love,,"party, 3d, quirky",,
corel-img/covers-1-(173).jpg,Cover Me Up,,"party, quirky, 3d",,
corel-img/covers-1-(175).jpg,No Smoking,,"party, humour, 3d, quirky",,
corel-img/covers-1-(177).jpg,Light Me Up,,"party, 3d, quirky",,
corel-img/covers-1-(184).jpg,Let's Drink,,"typography, party, humour",,
corel-img/covers-1-(185).jpg,Rum Only,,"3d, quirky, party",,
corel-img/covers-1-(186).jpg,Canned  Soup ,,"3d, quirky",,
corel-img/covers-1-(188).jpg,Antique Sword Handle,,"weapon, 3d, quirky",,
corel-img/covers-1-(195).jpg,5 bullets,,weapon,,
corel-img/covers-1-(196).jpg,Lemon Magic,,"party, typography, humour",,
corel-img/covers-1-(199).jpg,Love is in the Air,,party,,
corel-img/covers-1-(203).jpg,Vintage Stamps,,"retro, 3d",,
corel-img/covers-1-(210).jpg,Warning You,,"party, typography, humour, quirky",,
corel-img/covers-1-(211).jpg,Drinking Enthusiast,,"party, typography, humour, quirky",,
corel-img/covers-1-(214).jpg,Antique Knife,,"weapon, retro",,
corel-img/covers-1-(215).jpg,Bullet Hi Bullet,,weapon,,
corel-img/covers-1-(216).jpg,Shoot Them Up,,weapon,,
corel-img/covers-1-(218).jpg,Koftgiri Art,,"retro, 3d",,
corel-img/covers-1-(220).jpg,Better Life,,"fashion, humour, profession-and-personality",,
corel-img/covers-1-(221).jpg,Cool Moustache ,,"fashion, profession-and-personality, quirky",,
