S.R.No.,Title,Colors,Case_style,,
87.jpg,Majestic Siberian Husky,"Black , Grey , White","animals, 3d",,
88.jpg,Black and White Panda,"Black , Green , White",animals,,
89.jpg,Black Danger,"Black , Pink , White","animals, 3d, quirky",,
90.jpg,Saber Tooth,"Black , Brown , White","animals, 3d, quirky",,
91.jpg,Welcome to PANDALAND,"Black , Grey , White","animals, comic-and-cartoon, illustration",,
92.jpg,Grumpy Cat,"Pink , White , Yellow",animals,,
93.jpg,Phata Poster Nikla Tiger,"Black , Brown","animals, graphic, 3d",,
94.jpg,You and I,Brown,"animals, graphic, 3d",,
95.jpg,Sher da puttar,"Brown , Pink , White","animals, graphic, 3d",,
96.jpg,Walk Alone,"Brown , Green , White",animals,,
97.jpg,Pups And Bones,"Brown , Orange , White","animals, comic-and-cartoon, illustration",,
98.jpg,Kaali Billi,"Black , Green , White","animals, 3d",,
99.jpg,Style hai bhai,"Brown , Grey , Voilet",animals,,
100.jpg,Chalaak Lomdi,"Blue , Brown","animals, comic-and-cartoon, fashion, profession-and-personality",,
101.jpg,Student Of The Year,"Blue , Brown , White",animals,,
102.jpg,Rancho The Chimp,"Black , Brown","animals, 3d, quirky",,
103.jpg,Mastaani Chaal,"Pink , White","animals, comic-and-cartoon",,
104.jpg,Lets Rock It Off,"Brown , Green , White",animals,,
105.jpg,Doggy Depp,"Blue , Brown , White",animals,,
106.jpg,Flaming Blue lion,"Black , Blue , White","animals, graphic",,
107.jpg,Classy Cat,"Black , Blue , Grey",animals,,
108.jpg,Winter Chick,"Green , Yellow",animals,,
109.jpg,LOVE is Blind,"Blue , Brown , Orange",animals,,
110.jpg,Cats And Dogs,"Blue , Brown , Grey","animals, comic-and-cartoon, illustration",,
111.jpg,Hud Hud Dabangg!,"Brown , Yellow","animals, graphic, quirky, humour",,
112.jpg,Royal lion,Yellow,"animals, 3d, quirky",,
113.jpg,3D Pug ,"Black , Grey , Pink","animals, 3d, quirky",,
114.jpg,Cheetah,"Black , Brown","animals, 3d, quirky",,
115.jpg,Black Fox,"Black , Blue , White","animals, 3d, quirky",,
116.jpg,Roaring jaguar,"Black , Grey , Pink","animals, 3d, quirky",,
117.jpg,3D Black Dog,"Brown , Pink","animals, 3d, quirky",,
118.jpg,King Of The Jungle,"Brown , White","animals, 3d, quirky",,
120.jpg,Panga Mat Le,"Black , Pink","animals, 3d, quirky",,
121.jpg,Pig In The City,"Brown , Pink","animals, 3d, quirky",,
122.jpg,King Kong,"Black , Grey","animals, 3d, quirky",,
123.jpg,Royality Of The Jungle,"Black , Brown","animals, 3d, quirky",,
124.jpg,3D Horse,"Black , Brown","animals, 3d, quirky",,
125.jpg,Black Beauty,Black,"animals, 3d, quirky",,
127.jpg,Kisses With Love,"Red , Voilet","hearts, illustration",,
128.jpg,Butterflies,"Green , Voilet , Yellow","animals, illustration",,
131.jpg,O'my SWEETie!,"Brown , Red , Yellow","comic-and-cartoon, illustration",,
132.jpg,TAU.. ki baat ho ri sey?,"Black , Blue , Red","comic-and-cartoon, profession-and-personality, illustration",,
133.jpg,Haathi mere Saathi,"Green , Pink","animals, desi, illustration",,
134.jpg,just get clicked,"Black , Brown , White",illustration,,
137.jpg,Zebra N Flower,"Green , Red , White","animals, floral, illustration, textures-and-patterns",,
138.jpg,Owls Wala Love,"Blue , Pink","animals, comic-and-cartoon, floral, illustration",,
139.jpg,Jungle Book,"Brown , Orange , Pink","animals, comic-and-cartoon, illustration",,
140.jpg,Life In A Cage,"Brown , Green , Pink","animals, illustration",,
141.jpg,Trumphy's Wedding,"Black , Brown , Grey","animals, desi, illustration, textures-and-patterns",,
142.jpg,Rhinos Gang,"Black , Brown , White","animals, illustration",,
143.jpg,Kuch meetha ho jaaye,"Black , Pink , Yellow",illustration,,
144.jpg,I Love London,"Black , Orange , White","cities-and-travel, comic-and-cartoon, illustration",,
145.jpg,The Underworld,"Blue , Red , White","cities-and-travel, illustration",,
147.jpg,BOW BOW and MEOW,"Brown , Green , Yellow","animals, illustration",,
149.jpg,Precious Me,"Brown , Grey , White",fashion,,
150.jpg,Gems In Flowers,"Black , Grey , White",fashion,,
151.jpg,Diamonds and Me,"Black , Pink , White",fashion,,
152.jpg,Green Emarald,"Green , White , Yellow",fashion,,
153.jpg,Own me If U Can,"Green , Pink , White",fashion,,
154.jpg,Bedazzled Flower,"Blue , White , Yellow",fashion,,
155.jpg,Hunny Bunny And Friends,"Brown , Pink , Yellow","animals, illustration",,
156.jpg,Beach Slippers,"Blue , Green , Pink","illustration, fashion",,
157.jpg,Bagwantis,"Green , Pink , White","illustration, fashion",,
158.jpg,Aise na dekho,"Blue , Pink , Voilet","animals, illustration",,
159.jpg,Owlets homeland!,"Blue , Grey , Pink","animals, comic-and-cartoon, illustration",,
160.jpg,Owl City2,"Green , Pink",illustration,,
161.jpg,lego toys,"Yellow , Green , Blue","retro, textures-and-patterns, 3d",,
162.jpg,Absurdity,"Blue , Grey , White","illustration, textures-and-patterns",,
163.jpg,Quirky graffiti,"Red,Pink","illustration, graphic, comic-and-cartoon",,
164.jpg,Retro Brazil Flag,"Blue , Green , Yellow","sports, textures-and-patterns, flags",,
165.jpg,Retro Canada Flag,"Red , Voilet","sports, textures-and-patterns, flags",,
166.jpg,Retro India Flag,"Green , Orange , White","sports, textures-and-patterns, flags",,
167.jpg,Retro Great Britain Flag,"Brown , Voilet","sports, textures-and-patterns, flags",,
168.jpg,Retro Italy Flag,"Green , Red , White","sports, textures-and-patterns, flags",,
169.jpg,Retro Mexico Flag,"Green , Red , White","sports, textures-and-patterns, flags",,
170.jpg,Retro Spain Flag,"Red , Yellow","sports, textures-and-patterns, flags",,
171.jpg,Retro USA Flag,"Blue , Red , White","sports, textures-and-patterns, flags",,
172.jpg,Multicolour Moroccan Pattern,"Blue , Red , White","floral, textures-and-patterns",,
173.jpg,Orange Moroccan Pattern,"Orange , Pink , Yellow","floral, textures-and-patterns",,
174.jpg,Blue Moroccan Pattern,"Blue , Orange , Yellow","floral, textures-and-patterns",,
175.jpg,Pixel Moroccan Pattern,"Blue , Green , Orange","floral, textures-and-patterns",,
176.jpg,Floral Orange Pattern,"Black , Orange , Red","floral, textures-and-patterns",,
177.jpg,Multi Colour Floral Pattern,"Blue , Pink","floral, textures-and-patterns",,
178.jpg,Purple Floral Pattern,"Pink , White , Black","textures-and-patterns, floral",,
179.jpg,Zebra Floral Pattern,"Blue , Pink , Orange","textures-and-patterns, floral",,
180.jpg,Beautiful floral pattern,"Pink , Blue , White","textures-and-patterns, floral",,
181.jpg,Exotic Rangoli,"Red , Blue , Yellow","textures-and-patterns, floral",,
182.jpg,Mesmerising Rangoli,"Brown , Red , Blue","textures-and-patterns, floral",,
183.jpg,B&W Floral Pattern,"Black , White , Grey","textures-and-patterns, floral",,
184.jpg,Pink floral pattern,"Blue,White","floral, textures-and-patterns",,
185.jpg,Classy Wallpaper Pattern,Brown,"floral, textures-and-patterns",,
186.jpg,Birds & Flowers ,"Pink,Blue","floral, textures-and-patterns",,
187.jpg,Royal texture,"Green,Pink","floral, textures-and-patterns",,
188.jpg,Pink Flowers Texture,Pink,"floral, textures-and-patterns",,
189.jpg,Heart Pixels,"Black , Red , White","hearts, textures-and-patterns",,
190.jpg,Kiss Me,"Black , Red","hearts, textures-and-patterns",,
191.jpg,PIXELATED DIL,"Pink , Yellow","hearts, textures-and-patterns",,
192.jpg,Hearts pattern,"Blue , Pink","hearts, textures-and-patterns",,
193.jpg,Strips Of Hearts,"Pink , White","hearts, textures-and-patterns",,
194.jpg,Lip Service,"Blue , Pink","hearts, textures-and-patterns",,
195.jpg,Heart Doodle,"Pink , White","hearts, textures-and-patterns",,
196.jpg,Fill It ..!!,"Pink,White","hearts, textures-and-patterns",,
197.jpg,Heart Connection,"Blue , Pink , Green","textures-and-patterns, hearts",,
198.jpg,Heart & Flowers,"Orange , Pink , White","hearts, textures-and-patterns",,
199.jpg,I LUV U,"Orange , Pink , White","hearts, typography",,
200.jpg,Shoes Booze And Tattoos,"Grey , Pink , Red","hearts, typography, party, profession-and-personality",,
201.jpg,Bhai Yeh Teri Woh Meri,"Red , White","typography, quirky, party, humour",,
202.jpg,Just Don't Care,"Green , Pink , Red","humour, typography, profession-and-personality",,
203.jpg,I Am Single,"Black , Red , White","humour, typography, party",,
204.jpg,Bill Gates,"Black , Grey , Yellow","humour, typography",,
205.jpg,sab moh maya hai,"Red,Black","typography, party, quirky, humour, desi",,
206.jpg,lost my virginity,"Yellow, Red","typography, party, quirky, humour",,
207.jpg,alcohol solution,"Red ,Black","typography, party, quirky, humour",,
208.jpg,Setting Karwa De,"Red , Yellow","hearts, humour, party, typography, desi, quirky",,
209.jpg,Chal Daru Pite Hain,"Black , White , Yellow","humour, party, typography, desi, quirky",,
210.jpg,believe in sharing ,"Red , White","typography, party, humour, desi, quirky",,
211.jpg,Daaru Peete Hai,"Green, Pink","typography, desi, humour, quirky",,
212.jpg,one last chance,"Black , Pink , Yellow","typography, humour, quirky, desi",,
213.jpg,Baad Me Dekh Lenge,"Black , Brown , Grey","desi, humour, typography, quirky",,
214.jpg,Papa Ka Phone hai,"Brown , Red , White","desi, humour, party, typography, quirky",,
215.jpg,Kismat Ki Maar,"Black , Green",typography,,
216.jpg,Unhappily Married,"Green , Red","humour, party, typography, quirky",,
217.jpg,HARD LUCK,"Black , Green , Pink","humour, party, typography, quirky",,
218.jpg,life is simple,"Brown , Grey , White",typography,,
219.jpg,True Friends,"Black , Pink , White",typography,,
220.jpg,You Don't Stop,Blue,"typography, gym-and-health, profession-and-personality",,
